,countyCode,County,State,county_state,Median_Value_of_Owner_Occupied_Units,vol_ins_rate
454,13205,Mitchell,GA,"Mitchell County, GA",85400,71.2
455,13207,Monroe,GA,"Monroe County, GA",166900,75.5
456,13209,Montgomery,GA,"Montgomery County, GA",84000,91.3
457,13211,Morgan,GA,"Morgan County, GA",229000,52.7
458,13213,Murray,GA,"Murray County, GA",108300,89.6
459,13215,Muscogee,GA,"Muscogee County, GA",141300,76.2
460,13217,Newton,GA,"Newton County, GA",151800,80.3
461,13219,Oconee,GA,"Oconee County, GA",286600,75.3
462,13221,Oglethorpe,GA,"Oglethorpe County, GA",118500,91.9
463,13223,Paulding,GA,"Paulding County, GA",173600,80.1
464,13225,Peach,GA,"Peach County, GA",135100,126.0
465,13227,Pickens,GA,"Pickens County, GA",200200,36.2
466,13229,Pierce,GA,"Pierce County, GA",104400,91.7
467,13231,Pike,GA,"Pike County, GA",173000,111.1
468,13233,Polk,GA,"Polk County, GA",110700,62.2
469,13235,Pulaski,GA,"Pulaski County, GA",120100,84.1
470,13237,Putnam,GA,"Putnam County, GA",160400,69.4
471,13239,Quitman,GA,"Quitman County, GA",59900,43.8
472,13241,Rabun,GA,"Rabun County, GA",174500,95.7
473,13243,Randolph,GA,"Randolph County, GA",71900,125.1
474,13245,Richmond,GA,"Richmond County, GA",108000,88.4
475,13247,Rockdale,GA,"Rockdale County, GA",163900,72.7
476,13251,Screven,GA,"Screven County, GA",81200,103.5
477,13253,Seminole,GA,"Seminole County, GA",81100,68.4
478,13255,Spalding,GA,"Spalding County, GA",122800,84.1
479,13257,Stephens,GA,"Stephens County, GA",105300,53.1
480,13261,Sumter,GA,"Sumter County, GA",95700,89.4
481,13263,Talbot,GA,"Talbot County, GA",86400,91.5
482,13267,Tattnall,GA,"Tattnall County, GA",89200,105.6
483,13271,Telfair,GA,"Telfair County, GA",64600,134.5
484,13273,Terrell,GA,"Terrell County, GA",92100,100.0
485,13275,Thomas,GA,"Thomas County, GA",146800,84.8
486,13277,Tift,GA,"Tift County, GA",118100,81.3
487,13279,Toombs,GA,"Toombs County, GA",95300,78.1
488,13281,Towns,GA,"Towns County, GA",230500,81.6
489,13285,Troup,GA,"Troup County, GA",136700,82.9
490,13287,Turner,GA,"Turner County, GA",79700,102.6
491,13289,Twiggs,GA,"Twiggs County, GA",65100,53.0
492,13291,Union,GA,"Union County, GA",196500,54.8
493,13293,Upson,GA,"Upson County, GA",93300,84.1
494,13295,Walker,GA,"Walker County, GA",120600,74.1
495,13297,Walton,GA,"Walton County, GA",190300,63.7
496,13299,Ware,GA,"Ware County, GA",83100,110.0
497,13301,Warren,GA,"Warren County, GA",66200,210.6
498,13303,Washington,GA,"Washington County, GA",84800,58.0
499,13305,Wayne,GA,"Wayne County, GA",105400,79.7
500,13309,Wheeler,GA,"Wheeler County, GA",58800,75.1
501,13311,White,GA,"White County, GA",176300,85.4
502,13313,Whitfield,GA,"Whitfield County, GA",133400,69.7
503,13315,Wilcox,GA,"Wilcox County, GA",61800,122.5
504,13317,Wilkes,GA,"Wilkes County, GA",87200,104.7
505,13321,Worth,GA,"Worth County, GA",98700,83.9
506,15001,Hawaii,HI,"Hawaii County, HI",350000,69.4
507,15003,Honolulu,HI,"Honolulu County, HI",678200,66.7
508,15007,Kauai,HI,"Kauai County, HI",570700,66.1
509,15009,Maui,HI,"Maui County, HI",633500,64.8
510,16001,Ada,ID,"Ada County, ID",270800,76.6
511,16003,Adams,ID,"Adams County, ID",215500,49.8
512,16005,Bannock,ID,"Bannock County, ID",160000,61.1
513,16009,Benewah,ID,"Benewah County, ID",167000,82.6
514,16011,Bingham,ID,"Bingham County, ID",160100,79.1
515,16013,Blaine,ID,"Blaine County, ID",428900,87.5
516,16015,Boise,ID,"Boise County, ID",232300,77.3
517,16017,Bonner,ID,"Bonner County, ID",254200,67.7
518,16019,Bonneville,ID,"Bonneville County, ID",181200,100.4
519,16021,Boundary,ID,"Boundary County, ID",205000,74.0
520,16023,Butte,ID,"Butte County, ID",128900,152.9
521,16025,Camas,ID,"Camas County, ID",183300,74.3
522,16027,Canyon,ID,"Canyon County, ID",178300,78.0
523,16029,Caribou,ID,"Caribou County, ID",145900,142.3
524,16031,Cassia,ID,"Cassia County, ID",162100,76.8
525,16035,Clearwater,ID,"Clearwater County, ID",155900,59.3
526,16037,Custer,ID,"Custer County, ID",191600,86.4
527,16039,Elmore,ID,"Elmore County, ID",153800,64.2
528,16041,Franklin,ID,"Franklin County, ID",211900,66.6
529,16043,Fremont,ID,"Fremont County, ID",169900,94.8
530,16045,Gem,ID,"Gem County, ID",168700,104.6
531,16047,Gooding,ID,"Gooding County, ID",157800,90.7
532,16049,Idaho,ID,"Idaho County, ID",173200,55.0
533,16051,Jefferson,ID,"Jefferson County, ID",203700,97.3
534,16053,Jerome,ID,"Jerome County, ID",164600,132.3
535,16055,Kootenai,ID,"Kootenai County, ID",260300,88.8
536,16057,Latah,ID,"Latah County, ID",228200,64.8
537,16059,Lemhi,ID,"Lemhi County, ID",177000,89.1
538,16061,Lewis,ID,"Lewis County, ID",132300,95.0
539,16063,Lincoln,ID,"Lincoln County, ID",145600,63.6
540,16065,Madison,ID,"Madison County, ID",219100,59.0
541,16067,Minidoka,ID,"Minidoka County, ID",149600,132.3
542,16069,Nez Perce,ID,"Nez Perce County, ID",191500,61.2
543,16073,Owyhee,ID,"Owyhee County, ID",147800,141.2
544,16075,Payette,ID,"Payette County, ID",165600,71.3
545,16077,Power,ID,"Power County, ID",151300,83.6
546,16079,Shoshone,ID,"Shoshone County, ID",127900,59.2
547,16081,Teton,ID,"Teton County, ID",346600,71.2
548,16083,Twin Falls,ID,"Twin Falls County, ID",166800,67.7
549,16085,Valley,ID,"Valley County, ID",314800,81.5
550,16087,Washington,ID,"Washington County, ID",148900,74.4
551,17001,Adams,IL,"Adams County, IL",127800,79.4
552,17003,Alexander,IL,"Alexander County, IL",56000,79.1
553,17005,Bond,IL,"Bond County, IL",119700,112.8
554,17007,Boone,IL,"Boone County, IL",153400,67.1
555,17009,Brown,IL,"Brown County, IL",96200,72.7
556,17011,Bureau,IL,"Bureau County, IL",111700,54.7
557,17013,Calhoun,IL,"Calhoun County, IL",121000,47.0
558,17015,Carroll,IL,"Carroll County, IL",106100,43.0
559,17017,Cass,IL,"Cass County, IL",80800,83.5
560,17019,Champaign,IL,"Champaign County, IL",162100,62.9
561,17021,Christian,IL,"Christian County, IL",90900,62.3
562,17023,Clark,IL,"Clark County, IL",92500,72.4
563,17025,Clay,IL,"Clay County, IL",84500,106.2
564,17027,Clinton,IL,"Clinton County, IL",146200,43.3
565,17029,Coles,IL,"Coles County, IL",100500,68.1
566,17031,Cook,IL,"Cook County, IL",246600,38.0
567,17033,Crawford,IL,"Crawford County, IL",87800,104.9
568,17035,Cumberland,IL,"Cumberland County, IL",105800,136.1
569,17037,DeKalb,IL,"DeKalb County, IL",173100,71.8
570,17039,De Witt,IL,"De Witt County, IL",99500,52.8
571,17041,Douglas,IL,"Douglas County, IL",111400,75.4
572,17043,DuPage,IL,"DuPage County, IL",308500,51.5
573,17045,Edgar,IL,"Edgar County, IL",82800,120.4
574,17049,Effingham,IL,"Effingham County, IL",143600,134.1
575,17051,Fayette,IL,"Fayette County, IL",88300,185.9
576,17053,Ford,IL,"Ford County, IL",98300,88.3
577,17055,Franklin,IL,"Franklin County, IL",76100,51.3
578,17057,Fulton,IL,"Fulton County, IL",88600,63.9
579,17059,Gallatin,IL,"Gallatin County, IL",73900,77.4
580,17061,Greene,IL,"Greene County, IL",81000,21.2
581,17063,Grundy,IL,"Grundy County, IL",199300,59.6
582,17067,Hancock,IL,"Hancock County, IL",85600,76.8
583,17069,Hardin,IL,"Hardin County, IL",80500,90.7
584,17071,Henderson,IL,"Henderson County, IL",92000,84.4
585,17073,Henry,IL,"Henry County, IL",119200,66.7
586,17075,Iroquois,IL,"Iroquois County, IL",102800,63.1
587,17077,Jackson,IL,"Jackson County, IL",108600,72.5
588,17079,Jasper,IL,"Jasper County, IL",99500,66.2
589,17081,Jefferson,IL,"Jefferson County, IL",96700,60.0
590,17083,Jersey,IL,"Jersey County, IL",147900,35.8
591,17085,Jo Daviess,IL,"Jo Daviess County, IL",149100,80.2
592,17087,Johnson,IL,"Johnson County, IL",109500,127.0
593,17089,Kane,IL,"Kane County, IL",238300,53.6
594,17091,Kankakee,IL,"Kankakee County, IL",147900,65.9
595,17093,Kendall,IL,"Kendall County, IL",235600,68.2
596,17095,Knox,IL,"Knox County, IL",83000,86.6
597,17097,Lake,IL,"Lake County, IL",265100,59.1
598,17099,LaSalle,IL,"LaSalle County, IL",127200,68.6
599,17101,Lawrence,IL,"Lawrence County, IL",78400,74.8
600,17103,Lee,IL,"Lee County, IL",119900,69.1
601,17105,Livingston,IL,"Livingston County, IL",109400,83.8
602,17107,Logan,IL,"Logan County, IL",103200,81.0
603,17109,McDonough,IL,"McDonough County, IL",91800,15.9
604,17111,McHenry,IL,"McHenry County, IL",224500,49.3
605,17113,McLean,IL,"McLean County, IL",167000,58.4
606,17115,Macon,IL,"Macon County, IL",98400,79.3
607,17117,Macoupin,IL,"Macoupin County, IL",100600,54.4
608,17119,Madison,IL,"Madison County, IL",135600,74.4
609,17121,Marion,IL,"Marion County, IL",77900,66.9
610,17123,Marshall,IL,"Marshall County, IL",104900,48.9
611,17125,Mason,IL,"Mason County, IL",83000,96.8
612,17127,Massac,IL,"Massac County, IL",83600,67.8
613,17129,Menard,IL,"Menard County, IL",146900,85.1
614,17131,Mercer,IL,"Mercer County, IL",107600,60.2
615,17133,Monroe,IL,"Monroe County, IL",211300,61.6
616,17135,Montgomery,IL,"Montgomery County, IL",84100,10.0
617,17137,Morgan,IL,"Morgan County, IL",110100,49.4
618,17139,Moultrie,IL,"Moultrie County, IL",107400,43.2
619,17141,Ogle,IL,"Ogle County, IL",146900,61.2
620,17143,Peoria,IL,"Peoria County, IL",129800,69.3
621,17145,Perry,IL,"Perry County, IL",86500,78.9
622,17147,Piatt,IL,"Piatt County, IL",138600,71.2
623,17149,Pike,IL,"Pike County, IL",85400,79.7
624,17153,Pulaski,IL,"Pulaski County, IL",61300,98.8
625,17155,Putnam,IL,"Putnam County, IL",126800,45.5
626,17157,Randolph,IL,"Randolph County, IL",110200,57.5
627,17159,Richland,IL,"Richland County, IL",89600,138.4
628,17161,Rock Island,IL,"Rock Island County, IL",119400,70.4
629,17163,St. Clair,IL,"St. Clair County, IL",128000,67.0
630,17165,Saline,IL,"Saline County, IL",73800,70.6
631,17167,Sangamon,IL,"Sangamon County, IL",141200,61.1
632,17169,Schuyler,IL,"Schuyler County, IL",86600,72.2
633,17171,Scott,IL,"Scott County, IL",89200,82.6
634,17175,Stark,IL,"Stark County, IL",87700,186.5
635,17177,Stephenson,IL,"Stephenson County, IL",97800,43.0
636,17179,Tazewell,IL,"Tazewell County, IL",142000,67.0
637,17181,Union,IL,"Union County, IL",109900,16.1
638,17183,Vermilion,IL,"Vermilion County, IL",79900,48.6
639,17185,Wabash,IL,"Wabash County, IL",82800,118.9
640,17187,Warren,IL,"Warren County, IL",83900,77.3
641,17189,Washington,IL,"Washington County, IL",113500,163.9
642,17191,Wayne,IL,"Wayne County, IL",86400,112.7
643,17193,White,IL,"White County, IL",71500,94.5
644,17195,Whiteside,IL,"Whiteside County, IL",106700,72.4
645,17197,Will,IL,"Will County, IL",232000,47.3
646,17199,Williamson,IL,"Williamson County, IL",114900,72.3
647,17201,Winnebago,IL,"Winnebago County, IL",120400,60.1
648,17203,Woodford,IL,"Woodford County, IL",168700,60.9
649,18001,Adams,IN,"Adams County, IN",129300,63.3
650,18003,Allen,IN,"Allen County, IN",129300,52.7
651,18005,Bartholomew,IN,"Bartholomew County, IN",153500,60.3
652,18007,Benton,IN,"Benton County, IN",92500,181.8
653,18009,Blackford,IN,"Blackford County, IN",70600,205.2
654,18011,Boone,IN,"Boone County, IN",233700,59.8
655,18013,Brown,IN,"Brown County, IN",191700,60.8
656,18015,Carroll,IN,"Carroll County, IN",131700,59.3
657,18017,Cass,IN,"Cass County, IN",89300,62.2
658,18019,Clark,IN,"Clark County, IN",142800,64.1
659,18021,Clay,IN,"Clay County, IN",101400,63.8
660,18023,Clinton,IN,"Clinton County, IN",111500,69.1
661,18025,Crawford,IN,"Crawford County, IN",91900,63.3
662,18027,Daviess,IN,"Daviess County, IN",130000,78.6
663,18029,Dearborn,IN,"Dearborn County, IN",170400,65.6
664,18031,Decatur,IN,"Decatur County, IN",134400,82.0
665,18033,DeKalb,IN,"DeKalb County, IN",124300,41.1
666,18035,Delaware,IN,"Delaware County, IN",93600,73.3
667,18037,Dubois,IN,"Dubois County, IN",156500,98.4
668,18039,Elkhart,IN,"Elkhart County, IN",144300,71.2
669,18041,Fayette,IN,"Fayette County, IN",81900,62.1
670,18043,Floyd,IN,"Floyd County, IN",171400,49.5
671,18045,Fountain,IN,"Fountain County, IN",103000,112.1
672,18047,Franklin,IN,"Franklin County, IN",160200,54.9
673,18049,Fulton,IN,"Fulton County, IN",103600,69.5
674,18051,Gibson,IN,"Gibson County, IN",116100,41.5
675,18053,Grant,IN,"Grant County, IN",92700,63.2
676,18055,Greene,IN,"Greene County, IN",97600,79.9
677,18057,Hamilton,IN,"Hamilton County, IN",263300,60.1
678,18059,Hancock,IN,"Hancock County, IN",169300,70.6
679,18061,Harrison,IN,"Harrison County, IN",151900,74.1
680,18063,Hendricks,IN,"Hendricks County, IN",191700,74.9
681,18065,Henry,IN,"Henry County, IN",100400,64.6
682,18067,Howard,IN,"Howard County, IN",109500,89.4
683,18069,Huntington,IN,"Huntington County, IN",107200,60.1
684,18071,Jackson,IN,"Jackson County, IN",125300,68.1
685,18073,Jasper,IN,"Jasper County, IN",159700,59.2
686,18075,Jay,IN,"Jay County, IN",91400,57.8
687,18077,Jefferson,IN,"Jefferson County, IN",132900,36.7
688,18079,Jennings,IN,"Jennings County, IN",109800,65.0
689,18081,Johnson,IN,"Johnson County, IN",164600,70.4
690,18083,Knox,IN,"Knox County, IN",96800,105.2
691,18085,Kosciusko,IN,"Kosciusko County, IN",150000,59.8
692,18087,LaGrange,IN,"LaGrange County, IN",195900,59.9
693,18089,Lake,IN,"Lake County, IN",149500,83.1
694,18091,LaPorte,IN,"LaPorte County, IN",132600,89.4
695,18093,Lawrence,IN,"Lawrence County, IN",117400,90.0
696,18095,Madison,IN,"Madison County, IN",97300,66.4
697,18097,Marion,IN,"Marion County, IN",136700,81.9
698,18099,Marshall,IN,"Marshall County, IN",138700,51.8
699,18101,Martin,IN,"Martin County, IN",117100,161.2
700,18103,Miami,IN,"Miami County, IN",88700,67.2
701,18105,Monroe,IN,"Monroe County, IN",175600,55.5
702,18107,Montgomery,IN,"Montgomery County, IN",125700,72.9
703,18109,Morgan,IN,"Morgan County, IN",160700,48.1
704,18111,Newton,IN,"Newton County, IN",118400,66.6
705,18113,Noble,IN,"Noble County, IN",125800,85.9
706,18115,Ohio,IN,"Ohio County, IN",151200,76.8
707,18117,Orange,IN,"Orange County, IN",94700,49.0
708,18119,Owen,IN,"Owen County, IN",117600,45.6
709,18121,Parke,IN,"Parke County, IN",88900,85.1
710,18123,Perry,IN,"Perry County, IN",111500,76.9
711,18125,Pike,IN,"Pike County, IN",93400,108.6
712,18127,Porter,IN,"Porter County, IN",185400,63.0
713,18129,Posey,IN,"Posey County, IN",144200,61.9
714,18131,Pulaski,IN,"Pulaski County, IN",102700,63.8
715,18133,Putnam,IN,"Putnam County, IN",128800,74.6
716,18135,Randolph,IN,"Randolph County, IN",81200,52.2
717,18137,Ripley,IN,"Ripley County, IN",152100,117.7
718,18139,Rush,IN,"Rush County, IN",112600,39.8
719,18141,St. Joseph,IN,"St. Joseph County, IN",129000,90.7
720,18143,Scott,IN,"Scott County, IN",103000,94.8
721,18145,Shelby,IN,"Shelby County, IN",133200,61.9
722,18147,Spencer,IN,"Spencer County, IN",127700,65.3
723,18149,Starke,IN,"Starke County, IN",115500,50.0
724,18151,Steuben,IN,"Steuben County, IN",148800,60.1
725,18153,Sullivan,IN,"Sullivan County, IN",86000,10.0
726,18155,Switzerland,IN,"Switzerland County, IN",116400,51.7
727,18157,Tippecanoe,IN,"Tippecanoe County, IN",153000,70.6
728,18159,Tipton,IN,"Tipton County, IN",116000,74.1
729,18161,Union,IN,"Union County, IN",116300,88.8
730,18163,Vanderburgh,IN,"Vanderburgh County, IN",129000,63.0
731,18165,Vermillion,IN,"Vermillion County, IN",79700,43.9
732,18167,Vigo,IN,"Vigo County, IN",97500,63.9
733,18169,Wabash,IN,"Wabash County, IN",100500,60.0
734,18171,Warren,IN,"Warren County, IN",122100,157.6
735,18173,Warrick,IN,"Warrick County, IN",168200,97.0
736,18175,Washington,IN,"Washington County, IN",118100,25.4
737,18177,Wayne,IN,"Wayne County, IN",100500,63.6
738,18179,Wells,IN,"Wells County, IN",127600,84.1
739,18181,White,IN,"White County, IN",113500,78.2
740,18183,Whitley,IN,"Whitley County, IN",143100,84.6
741,19003,Adams,IA,"Adams County, IA",87500,1.4
742,19005,Allamakee,IA,"Allamakee County, IA",130400,42.0
743,19007,Appanoose,IA,"Appanoose County, IA",81400,91.3
744,19009,Audubon,IA,"Audubon County, IA",79500,109.2
745,19011,Benton,IA,"Benton County, IA",157200,55.4
746,19013,Black Hawk,IA,"Black Hawk County, IA",147500,70.8
747,19015,Boone,IA,"Boone County, IA",132700,43.2
748,19017,Bremer,IA,"Bremer County, IA",165700,57.7
749,19019,Buchanan,IA,"Buchanan County, IA",142500,63.2
750,19023,Butler,IA,"Butler County, IA",116700,62.1
751,19025,Calhoun,IA,"Calhoun County, IA",82000,23.1
752,19027,Carroll,IA,"Carroll County, IA",138900,61.1
753,19029,Cass,IA,"Cass County, IA",102100,64.2
754,19031,Cedar,IA,"Cedar County, IA",156000,67.5
755,19033,Cerro Gordo,IA,"Cerro Gordo County, IA",128600,85.6
756,19035,Cherokee,IA,"Cherokee County, IA",106700,47.1
757,19037,Chickasaw,IA,"Chickasaw County, IA",119100,69.7
758,19041,Clay,IA,"Clay County, IA",124100,76.3
759,19043,Clayton,IA,"Clayton County, IA",121700,57.1
760,19045,Clinton,IA,"Clinton County, IA",118100,54.8
761,19047,Crawford,IA,"Crawford County, IA",93400,34.2
762,19049,Dallas,IA,"Dallas County, IA",248100,68.8
763,19055,Delaware,IA,"Delaware County, IA",136100,40.3
764,19057,Des Moines,IA,"Des Moines County, IA",108500,58.1
765,19059,Dickinson,IA,"Dickinson County, IA",194300,64.2
766,19061,Dubuque,IA,"Dubuque County, IA",166800,44.6
767,19063,Emmet,IA,"Emmet County, IA",89300,184.9
768,19065,Fayette,IA,"Fayette County, IA",104100,57.7
769,19067,Floyd,IA,"Floyd County, IA",106200,57.0
770,19069,Franklin,IA,"Franklin County, IA",94100,75.5
771,19071,Fremont,IA,"Fremont County, IA",109300,80.4
772,19073,Greene,IA,"Greene County, IA",94700,179.8
773,19075,Grundy,IA,"Grundy County, IA",130200,116.6
774,19077,Guthrie,IA,"Guthrie County, IA",117900,148.9
775,19079,Hamilton,IA,"Hamilton County, IA",106100,76.4
776,19081,Hancock,IA,"Hancock County, IA",102200,92.8
777,19083,Hardin,IA,"Hardin County, IA",94300,71.7
778,19085,Harrison,IA,"Harrison County, IA",120600,73.6
779,19089,Howard,IA,"Howard County, IA",107100,81.1
780,19091,Humboldt,IA,"Humboldt County, IA",103800,65.1
781,19093,Ida,IA,"Ida County, IA",100900,61.0
782,19095,Iowa,IA,"Iowa County, IA",152500,68.1
783,19097,Jackson,IA,"Jackson County, IA",128200,56.1
784,19099,Jasper,IA,"Jasper County, IA",134200,87.2
785,19101,Jefferson,IA,"Jefferson County, IA",118300,123.5
786,19103,Johnson,IA,"Johnson County, IA",227600,64.9
787,19105,Jones,IA,"Jones County, IA",138400,43.7
788,19107,Keokuk,IA,"Keokuk County, IA",90400,55.1
789,19109,Kossuth,IA,"Kossuth County, IA",102100,111.3
790,19111,Lee,IA,"Lee County, IA",94500,74.8
791,19113,Linn,IA,"Linn County, IA",157000,64.8
792,19115,Louisa,IA,"Louisa County, IA",108800,70.6
793,19119,Lyon,IA,"Lyon County, IA",146900,45.9
794,19121,Madison,IA,"Madison County, IA",177500,113.5
795,19123,Mahaska,IA,"Mahaska County, IA",115300,63.9
796,19125,Marion,IA,"Marion County, IA",157300,62.9
797,19127,Marshall,IA,"Marshall County, IA",106000,56.1
798,19129,Mills,IA,"Mills County, IA",168900,55.5
799,19131,Mitchell,IA,"Mitchell County, IA",119400,136.4
800,19133,Monona,IA,"Monona County, IA",86900,71.7
801,19137,Montgomery,IA,"Montgomery County, IA",85700,33.6
802,19139,Muscatine,IA,"Muscatine County, IA",130500,52.9
803,19141,O'Brien,IA,"O'Brien County, IA",107000,20.3
804,19143,Osceola,IA,"Osceola County, IA",93700,10.0
805,19145,Page,IA,"Page County, IA",94400,162.0
806,19147,Palo Alto,IA,"Palo Alto County, IA",102200,62.6
807,19149,Plymouth,IA,"Plymouth County, IA",163500,55.8
808,19153,Polk,IA,"Polk County, IA",179900,58.0
809,19155,Pottawattamie,IA,"Pottawattamie County, IA",139800,53.8
810,19157,Poweshiek,IA,"Poweshiek County, IA",141100,145.2
811,19159,Ringgold,IA,"Ringgold County, IA",98700,176.1
812,19161,Sac,IA,"Sac County, IA",95800,107.3
813,19163,Scott,IA,"Scott County, IA",163200,59.9
814,19165,Shelby,IA,"Shelby County, IA",121200,44.0
815,19167,Sioux,IA,"Sioux County, IA",167500,102.5
816,19169,Story,IA,"Story County, IA",185800,47.6
817,19171,Tama,IA,"Tama County, IA",110400,42.1
818,19175,Union,IA,"Union County, IA",104000,60.4
819,19177,Van Buren,IA,"Van Buren County, IA",92800,77.8
820,19179,Wapello,IA,"Wapello County, IA",82100,83.2
821,19181,Warren,IA,"Warren County, IA",187200,49.6
822,19183,Washington,IA,"Washington County, IA",151600,52.6
823,19187,Webster,IA,"Webster County, IA",99100,66.2
824,19189,Winnebago,IA,"Winnebago County, IA",94800,167.7
825,19191,Winneshiek,IA,"Winneshiek County, IA",177300,62.3
826,19193,Woodbury,IA,"Woodbury County, IA",123300,54.4
827,19195,Worth,IA,"Worth County, IA",106700,80.9
828,19197,Wright,IA,"Wright County, IA",85500,96.6
829,20001,Allen,KS,"Allen County, KS",79300,72.3
830,20003,Anderson,KS,"Anderson County, KS",95700,96.1
831,20005,Atchison,KS,"Atchison County, KS",110400,110.9
832,20007,Barber,KS,"Barber County, KS",72300,112.1
833,20009,Barton,KS,"Barton County, KS",93300,81.7
834,20011,Bourbon,KS,"Bourbon County, KS",82700,74.6
835,20015,Butler,KS,"Butler County, KS",148600,56.1
836,20017,Chase,KS,"Chase County, KS",103600,37.7
837,20021,Cherokee,KS,"Cherokee County, KS",82500,76.2
838,20027,Clay,KS,"Clay County, KS",98000,45.3
839,20029,Cloud,KS,"Cloud County, KS",75800,47.1
840,20031,Coffey,KS,"Coffey County, KS",119100,29.8
841,20033,Comanche,KS,"Comanche County, KS",70300,67.3
842,20035,Cowley,KS,"Cowley County, KS",89000,75.0
843,20037,Crawford,KS,"Crawford County, KS",93900,72.7
844,20041,Dickinson,KS,"Dickinson County, KS",114700,86.2
845,20043,Doniphan,KS,"Doniphan County, KS",100600,74.6
846,20045,Douglas,KS,"Douglas County, KS",199400,62.2
847,20047,Edwards,KS,"Edwards County, KS",61400,40.8
848,20049,Elk,KS,"Elk County, KS",54700,5.3
849,20051,Ellis,KS,"Ellis County, KS",169100,69.1
850,20053,Ellsworth,KS,"Ellsworth County, KS",99400,86.3
851,20055,Finney,KS,"Finney County, KS",152500,67.2
852,20057,Ford,KS,"Ford County, KS",112500,58.5
853,20059,Franklin,KS,"Franklin County, KS",128000,60.9
854,20061,Geary,KS,"Geary County, KS",148800,50.0
855,20073,Greenwood,KS,"Greenwood County, KS",66700,210.0
856,20075,Hamilton,KS,"Hamilton County, KS",81800,127.0
857,20077,Harper,KS,"Harper County, KS",74300,112.4
858,20079,Harvey,KS,"Harvey County, KS",126100,62.5
859,20081,Haskell,KS,"Haskell County, KS",107000,169.1
860,20085,Jackson,KS,"Jackson County, KS",134700,91.7
861,20087,Jefferson,KS,"Jefferson County, KS",150600,79.7
862,20091,Johnson,KS,"Johnson County, KS",259600,58.9
863,20093,Kearny,KS,"Kearny County, KS",116700,99.7
864,20095,Kingman,KS,"Kingman County, KS",91500,54.4
865,20099,Labette,KS,"Labette County, KS",76400,99.3
866,20103,Leavenworth,KS,"Leavenworth County, KS",182900,73.1
867,20105,Lincoln,KS,"Lincoln County, KS",72700,40.5
868,20107,Linn,KS,"Linn County, KS",110100,65.5
869,20111,Lyon,KS,"Lyon County, KS",106800,105.0
870,20113,McPherson,KS,"McPherson County, KS",151800,72.6
871,20115,Marion,KS,"Marion County, KS",90800,64.3
872,20117,Marshall,KS,"Marshall County, KS",98900,35.2
873,20121,Miami,KS,"Miami County, KS",201400,59.9
874,20123,Mitchell,KS,"Mitchell County, KS",88900,66.0
875,20125,Montgomery,KS,"Montgomery County, KS",76200,85.9
876,20131,Nemaha,KS,"Nemaha County, KS",130500,47.8
877,20133,Neosho,KS,"Neosho County, KS",82000,67.8
878,20135,Ness,KS,"Ness County, KS",73300,18.3
879,20137,Norton,KS,"Norton County, KS",82900,38.3
880,20139,Osage,KS,"Osage County, KS",115700,70.9
881,20143,Ottawa,KS,"Ottawa County, KS",105700,32.7
882,20145,Pawnee,KS,"Pawnee County, KS",82400,172.7
883,20147,Phillips,KS,"Phillips County, KS",79600,194.9
884,20149,Pottawatomie,KS,"Pottawatomie County, KS",183100,63.5
885,20151,Pratt,KS,"Pratt County, KS",91900,67.0
886,20153,Rawlins,KS,"Rawlins County, KS",101600,156.2
887,20155,Reno,KS,"Reno County, KS",101300,57.9
888,20157,Republic,KS,"Republic County, KS",66000,103.0
889,20159,Rice,KS,"Rice County, KS",74700,85.2
890,20161,Riley,KS,"Riley County, KS",201000,51.4
891,20163,Rooks,KS,"Rooks County, KS",78800,156.6
892,20165,Rush,KS,"Rush County, KS",70800,16.9
893,20169,Saline,KS,"Saline County, KS",136800,58.6
894,20171,Scott,KS,"Scott County, KS",136200,118.5
895,20173,Sedgwick,KS,"Sedgwick County, KS",140700,50.4
896,20175,Seward,KS,"Seward County, KS",105300,66.4
897,20177,Shawnee,KS,"Shawnee County, KS",132500,57.7
898,20181,Sherman,KS,"Sherman County, KS",111400,93.8
899,20191,Sumner,KS,"Sumner County, KS",89800,78.9
900,20193,Thomas,KS,"Thomas County, KS",129700,88.7
901,20197,Wabaunsee,KS,"Wabaunsee County, KS",146700,66.3
902,20201,Washington,KS,"Washington County, KS",82000,153.8
903,20205,Wilson,KS,"Wilson County, KS",73500,70.1
904,20207,Woodson,KS,"Woodson County, KS",73600,121.0
905,20209,Wyandotte,KS,"Wyandotte County, KS",100300,54.5
906,21001,Adair,KY,"Adair County, KY",96400,51.3
907,21003,Allen,KY,"Allen County, KY",120600,73.4
908,21005,Anderson,KY,"Anderson County, KY",149800,58.5
909,21007,Ballard,KY,"Ballard County, KY",102900,87.6
910,21009,Barren,KY,"Barren County, KY",125400,48.0
911,21011,Bath,KY,"Bath County, KY",89700,46.1
912,21013,Bell,KY,"Bell County, KY",59800,53.6
913,21015,Boone,KY,"Boone County, KY",189800,65.4
914,21017,Bourbon,KY,"Bourbon County, KY",146700,70.7
915,21019,Boyd,KY,"Boyd County, KY",111200,57.4
916,21021,Boyle,KY,"Boyle County, KY",146400,53.0
917,21023,Bracken,KY,"Bracken County, KY",103100,75.0
918,21025,Breathitt,KY,"Breathitt County, KY",54000,80.0
919,21027,Breckinridge,KY,"Breckinridge County, KY",102900,95.8
